exp_name,method,setting,scale,seed,tag,timestamp,final_loss,total_mb,upload_mb,download_mb,switch_round,mmlu_acc,arc_easy_acc,boolq_acc,hellaswag_acc
exp_flora_iid,flora,iid,tinyllama_1b,123,run_08_of_18,20260428_184234,1.2611626766522726,2578.125,1289.0625,1289.0625,,,,,
exp_flora_iid,flora,iid,tinyllama_1b,42,run_07_of_18,20260428_153342,1.2594342811902364,2578.125,1289.0625,1289.0625,,,,,
exp_flora_iid,flora,iid,tinyllama_1b,42,stage3_checkpoint,20260506_065929,1.261351112683614,2578.125,1289.0625,1289.0625,,0.258,0.246,0.562,0.42
exp_flora_iid,flora,iid,tinyllama_1b,456,run_09_of_18,20260428_215113,1.2609145652453104,2578.125,1289.0625,1289.0625,,,,,
exp_flora_noniid_alpha05,flora,noniid_alpha05,tinyllama_1b,123,run_17_of_18,20260429_223147,1.2720238860615845,2578.125,1289.0625,1289.0625,,,,,
exp_flora_noniid_alpha05,flora,noniid_alpha05,tinyllama_1b,42,run_16_of_18,20260429_192712,1.2745444993684871,2578.125,1289.0625,1289.0625,,,,,
exp_flora_noniid_alpha05,flora,noniid_alpha05,tinyllama_1b,456,run_18_of_18,20260430_013838,1.239670210884628,2578.125,1289.0625,1289.0625,,,,,
exp_llama3_flora_iid,flora,iid,llama3_3b,42,llama3_smoke,20260505_152953,1.0757838934659958,35.0,17.5,17.5,,,,,
exp_llama3_flora_iid,flora,iid,llama3_3b,42,llama3_smoke,20260505_172024,1.6189914691050848,35.0,17.5,17.5,,,,,
exp_llama3_flora_iid,flora,iid,llama3_3b,42,llama3_smoke,20260506_164739,1.6189914691050848,35.0,17.5,17.5,,,,,
exp_llama3_flora_iid,flora,iid,llama3_3b,42,llama3_smoke_fp32,20260505_164105,1.6175644410053889,70.0,35.0,35.0,,,,,
exp_llama3_flora_iid,flora,iid,llama3_3b,42,llama3_smoke_lr1e-5,20260505_162420,1.0757838934659958,35.0,17.5,17.5,,,,,
exp_llama3_flora_iid,flora,iid,llama3_3b,42,llama3_smoke_lr5e-5,20260505_154952,1.0757838934659958,35.0,17.5,17.5,,,,,
exp_llama3_flora_iid,flora,iid,llama3_3b,42,stage5_llama3_full,20260506_172045,1.371683085779349,2625.0,1312.5,1312.5,,0.562,0.834,0.732,0.534
exp_llama3_reverse_adaptive_iid,reverse_adaptive,iid,llama3_3b,42,stage5_llama3_full,20260507_082356,1.3938311262925467,1837.5,945.0,892.5,8,0.56,0.832,0.738,0.542
exp_llama3_two_phase_k8_iid,two_phase,iid,llama3_3b,42,stage5_llama3_full,20260507_005718,1.393775810380777,1942.5,997.5,945.0,,0.556,0.832,0.728,0.544
exp_reverse_adaptive,reverse_adaptive,iid,tinyllama_1b,42,run_05_of_12,20260425_140923,1.2735087777773537,1289.0625,,,6,,,,
exp_reverse_adaptive_iid,reverse_adaptive,iid,tinyllama_1b,123,stage2_adaptive,20260502_171633,1.2752344407240548,1533.125,794.0625,739.0625,6,,,,
exp_reverse_adaptive_iid,reverse_adaptive,iid,tinyllama_1b,42,stage2_adaptive,20260502_141513,1.2735571080048878,1533.125,794.0625,739.0625,6,,,,
exp_reverse_adaptive_iid,reverse_adaptive,iid,tinyllama_1b,42,stage3_checkpoint,20260506_130343,1.2754731659094491,1533.125,794.0625,739.0625,6,0.244,0.252,0.552,0.42
exp_reverse_adaptive_iid,reverse_adaptive,iid,tinyllama_1b,456,stage2_adaptive,20260502_201916,1.2751069316864014,1533.125,794.0625,739.0625,6,,,,
exp_reverse_adaptive_no_switch,reverse_adaptive,iid,tinyllama_1b,42,stage2_no_switch_sanity,20260502_105755,1.2594342811902364,2578.125,1289.0625,1289.0625,,,,,
exp_reverse_adaptive_noniid_alpha01,reverse_adaptive,noniid_alpha01,tinyllama_1b,1000,stage2_adaptive_alpha01_extra_seeds,20260505_002408,1.2730455825208637,1226.5,635.25,591.25,6,,,,
exp_reverse_adaptive_noniid_alpha01,reverse_adaptive,noniid_alpha01,tinyllama_1b,123,stage2_adaptive,20260503_114223,1.2889847008883863,1533.125,794.0625,739.0625,6,,,,
exp_reverse_adaptive_noniid_alpha01,reverse_adaptive,noniid_alpha01,tinyllama_1b,42,stage2_adaptive,20260503_083751,1.2683526293787555,1379.8125,714.65625,665.15625,6,,,,
exp_reverse_adaptive_noniid_alpha01,reverse_adaptive,noniid_alpha01,tinyllama_1b,456,stage2_adaptive,20260503_144422,1.3480826738390224,1533.125,794.0625,739.0625,6,,,,
exp_reverse_adaptive_noniid_alpha01,reverse_adaptive,noniid_alpha01,tinyllama_1b,789,stage2_adaptive_alpha01_extra_seeds,20260504_212316,1.2591996681061424,1533.125,794.0625,739.0625,6,,,,
exp_reverse_adaptive_noniid_alpha05,reverse_adaptive,noniid_alpha05,tinyllama_1b,123,stage2_adaptive,20260503_022754,1.282624729867208,1533.125,794.0625,739.0625,6,,,,
exp_reverse_adaptive_noniid_alpha05,reverse_adaptive,noniid_alpha05,tinyllama_1b,42,stage2_adaptive,20260502_232453,1.285933317500538,1533.125,794.0625,739.0625,6,,,,
