run_dir,experiment_type,slug,method,lora_r,num_clients_override,initial_loss,final_loss,loss_reduction,total_time_hours,communication_mb,num_rounds,convergence_round
revised_exp1_iid_fedit_20260417_235742,IID,revised_exp1_iid,fedit,,,1.346112394809723,1.2315931693712872,0.11451922543843573,3.0047017727295557,1289.0625,15,11
revised_exp1_iid_ffa_lora_20260418_075840,IID,revised_exp1_iid,ffa_lora,,,1.3955668007532755,1.2795926943620046,0.11597410639127093,2.9500281467702654,464.0625,15,9
revised_exp1_iid_flexlora_20260418_184429,IID,revised_exp1_iid,flexlora,,,1.346112394809723,1.218913659175237,0.12719873563448592,3.016555120944977,1289.0625,15,11
revised_exp1_iid_flora_20260418_153854,IID,revised_exp1_iid,flora,,,1.346112394809723,1.218913659175237,0.12719873563448592,3.066859845717748,1289.0625,15,11
revised_exp2_noniid_label_fedit_20260418_224932,NonIID-Label,revised_exp2_noniid_label,fedit,,,3.1290044495704032,2.7500609995002976,0.37894345007010566,2.965184876786338,1289.0625,15,15
revised_exp2_noniid_label_ffa_lora_20260419_014857,NonIID-Label,revised_exp2_noniid_label,ffa_lora,,,3.3408819069446394,2.931747569477886,0.40913433746675354,3.014351660543018,464.0625,15,13
revised_exp2_noniid_label_flexlora_20260419_075954,NonIID-Label,revised_exp2_noniid_label,flexlora,,,3.1290044495704032,2.709503386222911,0.41950106334749204,3.0759464913606642,1289.0625,15,15
revised_exp2_noniid_label_flora_20260419_045124,NonIID-Label,revised_exp2_noniid_label,flora,,,3.1290044495704032,2.709503386222911,0.41950106334749204,3.1159745003117454,1289.0625,15,15
revised_exp3_noniid_qty_fedit_20260419_111407,NonIID-Qty,revised_exp3_noniid_qty,fedit,,,1.3833030600893716,1.2515782783261817,0.1317247817631899,2.9342237381802665,1289.0625,15,4
revised_exp3_noniid_qty_ffa_lora_20260419_141144,NonIID-Qty,revised_exp3_noniid_qty,ffa_lora,,,1.4255868160868173,1.289114114674669,0.1364727014121483,2.9356175068351957,464.0625,15,4
revised_exp3_noniid_qty_flexlora_20260419_201513,NonIID-Qty,revised_exp3_noniid_qty,flexlora,,,1.3833030600893716,1.2322438173662256,0.15105924272314608,3.071517834266027,1289.0625,15,4
revised_exp3_noniid_qty_flora_20260419_170913,NonIID-Qty,revised_exp3_noniid_qty,flora,,,1.3833030600893716,1.2322438173662256,0.15105924272314608,3.076004752053155,1289.0625,15,4
revised_exp4_rank_fedit_r16_20260420_012938,Rank,revised_exp4_rank,fedit,16.0,,1.365604894399643,1.2263086795806883,0.1392962148189547,2.0306939866807725,1289.0625,15,5
revised_exp4_rank_fedit_r32_20260420_033301,Rank,revised_exp4_rank,fedit,32.0,,1.36764062666893,1.2282275289297104,0.13941309773921962,2.042695653372341,2578.125,15,9
revised_exp4_rank_fedit_r8_20260419_232724,Rank,revised_exp4_rank,fedit,8.0,,1.3689125374555589,1.2297488205432892,0.1391637169122697,2.0085359477334555,644.53125,15,6
revised_exp4_rank_ffa_lora_r16_20260420_073956,Rank,revised_exp4_rank,ffa_lora,16.0,,1.4274936858415603,1.2776937189102173,0.149799966931343,2.021315695312288,464.0625,15,7
revised_exp4_rank_ffa_lora_r32_20260420_094240,Rank,revised_exp4_rank,ffa_lora,32.0,,1.429225021004677,1.2783339561223985,0.15089106488227855,2.0017007493310506,928.125,15,7
revised_exp4_rank_ffa_lora_r8_20260420_053701,Rank,revised_exp4_rank,ffa_lora,8.0,,1.4301757981777192,1.2799850919246674,0.15019070625305186,2.024562399784724,232.03125,15,6
revised_exp5_scaling_fedit_c10_20260420_144917,Scaling,revised_exp5_scaling,fedit,,10.0,1.346112394809723,1.2315931693712872,0.11451922543843573,2.9913453870349462,1289.0625,15,11
revised_exp5_scaling_fedit_c5_20260420_115001,Scaling,revised_exp5_scaling,fedit,,5.0,1.3462380367120106,1.1761498845418294,0.17008815217018114,2.9714957199494045,644.53125,15,15
revised_exp5_scaling_flora_c10_20260420_205502,Scaling,revised_exp5_scaling,flora,,10.0,1.346112394809723,1.218913659175237,0.12719873563448592,3.0735204042991002,1289.0625,15,11
revised_exp5_scaling_flora_c5_20260420_175026,Scaling,revised_exp5_scaling,flora,,5.0,1.3462380367120106,1.1450318895975748,0.20120614711443574,3.0616009009546703,644.53125,15,15
