exp_name,method,dataset,setting,seed,backend,target_modules,broadcast_bytes_per_client,rounds_completed,final_avg_loss,total_communication_mb,total_upload_mb,total_download_mb,switch_round,run_path
exp_dolly_flora_iid,flora,databricks/databricks-dolly-15k,iid,42,cuda,"q_proj,v_proj",9011200,15,1.656762192805608,2578.125,1289.0625,1289.0625,,/Users/jerryadamsfranklin/Documents/Git Repos/federated-lora-experiments/results/raw/exp_dolly_flora_iid/flora/seed_42/run_01_of_24/neuro_part12_qvonly/20260726_232345
exp_dolly_flora_iid,flora,databricks/databricks-dolly-15k,iid,123,cuda,"q_proj,v_proj",9011200,15,1.6529338139692942,2578.125,1289.0625,1289.0625,,/Users/jerryadamsfranklin/Documents/Git Repos/federated-lora-experiments/results/raw/exp_dolly_flora_iid/flora/seed_123/run_02_of_24/neuro_part12_qvonly/20260726_235500
exp_dolly_flora_iid,flora,databricks/databricks-dolly-15k,iid,456,cuda,"q_proj,v_proj",9011200,15,1.6534258423646293,2578.125,1289.0625,1289.0625,,/Users/jerryadamsfranklin/Documents/Git Repos/federated-lora-experiments/results/raw/exp_dolly_flora_iid/flora/seed_456/run_03_of_24/neuro_part12_qvonly/20260727_002631
exp_dolly_reverse_adaptive_iid,reverse_adaptive,databricks/databricks-dolly-15k,iid,42,cuda,"q_proj,v_proj",9011200,15,1.6710390600363414,1533.125,794.0625,739.0625,6,/Users/jerryadamsfranklin/Documents/Git Repos/federated-lora-experiments/results/raw/exp_dolly_reverse_adaptive_iid/reverse_adaptive/seed_42/run_07_of_24/neuro_part12_qvonly/20260727_022830
exp_dolly_reverse_adaptive_iid,reverse_adaptive,databricks/databricks-dolly-15k,iid,123,cuda,"q_proj,v_proj",9011200,15,1.666994737784068,1533.125,794.0625,739.0625,6,/Users/jerryadamsfranklin/Documents/Git Repos/federated-lora-experiments/results/raw/exp_dolly_reverse_adaptive_iid/reverse_adaptive/seed_123/run_08_of_24/neuro_part12_qvonly/20260727_025712
exp_dolly_reverse_adaptive_iid,reverse_adaptive,databricks/databricks-dolly-15k,iid,456,cuda,"q_proj,v_proj",9011200,15,1.667698979218801,1533.125,794.0625,739.0625,6,/Users/jerryadamsfranklin/Documents/Git Repos/federated-lora-experiments/results/raw/exp_dolly_reverse_adaptive_iid/reverse_adaptive/seed_456/run_09_of_24/neuro_part12_qvonly/20260727_032532
exp_dolly_reverse_adaptive_noniid_alpha05,reverse_adaptive,databricks/databricks-dolly-15k,noniid_alpha0.5,42,cuda,"q_proj,v_proj",9011200,15,1.643898467500731,1533.125,794.0625,739.0625,6,/Users/jerryadamsfranklin/Documents/Git Repos/federated-lora-experiments/results/raw/exp_dolly_reverse_adaptive_noniid_alpha05/reverse_adaptive/seed_42/run_10_of_24/neuro_part12_qvonly/20260727_035407
exp_dolly_reverse_adaptive_noniid_alpha05,reverse_adaptive,databricks/databricks-dolly-15k,noniid_alpha0.5,123,cuda,"q_proj,v_proj",9011200,15,1.6688285750197682,1533.125,794.0625,739.0625,6,/Users/jerryadamsfranklin/Documents/Git Repos/federated-lora-experiments/results/raw/exp_dolly_reverse_adaptive_noniid_alpha05/reverse_adaptive/seed_123/run_11_of_24/neuro_part12_qvonly/20260727_042229
exp_dolly_reverse_adaptive_noniid_alpha05,reverse_adaptive,databricks/databricks-dolly-15k,noniid_alpha0.5,456,cuda,"q_proj,v_proj",9011200,15,1.6591182565832743,1533.125,794.0625,739.0625,6,/Users/jerryadamsfranklin/Documents/Git Repos/federated-lora-experiments/results/raw/exp_dolly_reverse_adaptive_noniid_alpha05/reverse_adaptive/seed_456/run_12_of_24/neuro_part12_qvonly/20260727_045209
exp_dolly_two_phase_k8_iid,two_phase,databricks/databricks-dolly-15k,iid,42,cuda,"q_proj,v_proj",9011200,15,1.6666163043181101,1863.125,959.0625,904.0625,K=8 (configured boundary),/Users/jerryadamsfranklin/Documents/Git Repos/federated-lora-experiments/results/raw/exp_dolly_two_phase_k8_iid/two_phase/seed_42/run_04_of_24/neuro_part12_qvonly/20260727_005833
