exec_order,status,setting,experiment,method,data_setting,seed,switch_threshold,cuda_path,n_fail_checks,n_pass_checks,detail
1,PASS,noniid,exp_reverse_adaptive_noniid_alpha05,reverse_adaptive,noniid_alpha0.5,42,,results/raw/exp_reverse_adaptive_noniid_alpha05/reverse_adaptive/seed_42/phase1_cuda_rerun/20260715_010658/results.json,0,19,
2,PASS,iid,exp_flora_iid,flora,iid,42,,results/raw/exp_flora_iid/flora/seed_42/phase1_cuda_rerun/20260715_021226/results.json,0,17,
3,PASS,iid,exp_flora_iid,flora,iid,123,,results/raw/exp_flora_iid/flora/seed_123/phase1_cuda_rerun/20260715_035242/results.json,0,17,
4,PASS,iid,exp_flora_iid,flora,iid,456,,results/raw/exp_flora_iid/flora/seed_456/phase1_cuda_rerun/20260715_052914/results.json,0,17,
5,PASS,noniid,exp_flora_noniid_alpha05,flora,noniid_alpha0.5,42,,results/raw/exp_flora_noniid_alpha05/flora/seed_42/phase1_cuda_rerun/20260715_070023/results.json,0,19,
6,PASS,noniid,exp_flora_noniid_alpha05,flora,noniid_alpha0.5,123,,results/raw/exp_flora_noniid_alpha05/flora/seed_123/phase1_cuda_rerun/20260715_083036/results.json,0,19,
7,PASS,noniid,exp_flora_noniid_alpha05,flora,noniid_alpha0.5,456,,results/raw/exp_flora_noniid_alpha05/flora/seed_456/phase1_cuda_rerun/20260715_100237/results.json,0,19,
8,PASS,iid,exp_reverse_adaptive_iid,reverse_adaptive,iid,42,,results/raw/exp_reverse_adaptive_iid/reverse_adaptive/seed_42/phase1_cuda_rerun/20260715_112811/results.json,0,17,
9,PASS,iid,exp_reverse_adaptive_iid,reverse_adaptive,iid,123,,results/raw/exp_reverse_adaptive_iid/reverse_adaptive/seed_123/phase1_cuda_rerun/20260715_121855/results.json,0,17,
10,PASS,iid,exp_reverse_adaptive_iid,reverse_adaptive,iid,456,,results/raw/exp_reverse_adaptive_iid/reverse_adaptive/seed_456/phase1_cuda_rerun/20260715_130847/results.json,0,17,
11,FAIL,iid,exp_reverse_adaptive_threshold_ablation,reverse_adaptive,iid_threshold_tau=0.001,42,0.001,results/raw/exp_reverse_adaptive_threshold_ablation/reverse_adaptive/seed_42/phase1_cuda_rerun/20260715_135740/results.json,1,16,[FAIL] final_communication_mb: mps=2083.125000  cuda=1973.125000  |Δ|=110.000000  (atol=0.01)
12,FAIL,iid,exp_reverse_adaptive_threshold_ablation,reverse_adaptive,iid_threshold_tau=0.002,42,0.002,results/raw/exp_reverse_adaptive_threshold_ablation/reverse_adaptive/seed_42/phase1_cuda_rerun/20260715_145912/results.json,1,16,[FAIL] final_communication_mb: mps=1863.125000  cuda=1753.125000  |Δ|=110.000000  (atol=0.01)
13,PASS,iid,exp_reverse_adaptive_threshold_ablation,reverse_adaptive,iid_threshold_tau=0.005,42,0.005,results/raw/exp_reverse_adaptive_threshold_ablation/reverse_adaptive/seed_42/phase1_cuda_rerun/20260715_155523/results.json,0,17,
14,PASS,iid,exp_reverse_adaptive_threshold_ablation,reverse_adaptive,iid_threshold_tau=0.01,42,0.01,results/raw/exp_reverse_adaptive_threshold_ablation/reverse_adaptive/seed_42/phase1_cuda_rerun/20260715_165209/results.json,0,17,
15,PASS,noniid,exp_reverse_adaptive_noniid_alpha01,reverse_adaptive,noniid_alpha0.1,42,,results/raw/exp_reverse_adaptive_noniid_alpha01/reverse_adaptive/seed_42/phase1_cuda_rerun/20260715_173955/results.json,0,19,
16,FAIL,noniid,exp_reverse_adaptive_noniid_alpha01,reverse_adaptive,noniid_alpha0.1,123,,results/raw/exp_reverse_adaptive_noniid_alpha01/reverse_adaptive/seed_123/phase1_cuda_rerun/20260715_182704/results.json,1,18,[FAIL] noniid_consec_strict_spikes: longest streak with |Δ|>0.01 is 3 (rounds 7-9); max allowed consecutive is 2
17,FAIL,noniid,exp_reverse_adaptive_noniid_alpha01,reverse_adaptive,noniid_alpha0.1,456,,results/raw/exp_reverse_adaptive_noniid_alpha01/reverse_adaptive/seed_456/phase1_cuda_rerun/20260715_191752/results.json,6,13,"[FAIL] final_communication_mb: mps=1533.125000  cuda=1643.125000  |Δ|=110.000000  (atol=0.01); [FAIL] round_7_avg_loss: mps=1.339824  cuda=1.375425  |Δ|=0.035601  (atol=0.025); [FAIL] round_8_avg_loss: mps=1.372140  cuda=1.327239  |Δ|=0.044901  (atol=0.025); [FAIL] round_12_avg_loss: mps=1.324776  cuda=1.366671  |Δ|=0.041894  (atol=0.025); [FAIL] switch_round_exact: mps=6  cuda=7  (hard match, no tolerance); [FAIL] noniid_consec_strict_spikes: longest streak with |Δ|>0.01 is 3 (rounds 1-3); max allowed consecutive is 2"
18,PASS,noniid,exp_reverse_adaptive_noniid_alpha05,reverse_adaptive,noniid_alpha0.5,123,,results/raw/exp_reverse_adaptive_noniid_alpha05/reverse_adaptive/seed_123/phase1_cuda_rerun/20260715_200920/results.json,0,19,
19,PASS,noniid,exp_reverse_adaptive_noniid_alpha05,reverse_adaptive,noniid_alpha0.5,456,,results/raw/exp_reverse_adaptive_noniid_alpha05/reverse_adaptive/seed_456/phase1_cuda_rerun/20260715_205528/results.json,0,19,
20,PASS,iid,exp_two_phase_k8,two_phase,iid,42,,results/raw/exp_two_phase_k8/two_phase/seed_42/phase1_cuda_rerun/20260715_214155/results.json,0,17,
21,PASS,iid,exp_two_phase_k8,two_phase,iid,123,,results/raw/exp_two_phase_k8/two_phase/seed_123/phase1_cuda_rerun/20260715_223931/results.json,0,17,
22,PASS,iid,exp_two_phase_k8,two_phase,iid,456,,results/raw/exp_two_phase_k8/two_phase/seed_456/phase1_cuda_rerun/20260715_233604/results.json,0,17,
