exec_order,part,model,method,data_setting,seed,experiment,config,tag,device,notes
1,part1_dolly,TinyLlama-1.1B,flora,iid,42,exp_dolly_flora_iid,config/exp_dolly_flora_iid.yaml,neuro_part1_part2_4090,cuda,Dolly-3k parity run
2,part1_dolly,TinyLlama-1.1B,flora,iid,123,exp_dolly_flora_iid,config/exp_dolly_flora_iid.yaml,neuro_part1_part2_4090,cuda,Dolly-3k parity run
3,part1_dolly,TinyLlama-1.1B,flora,iid,456,exp_dolly_flora_iid,config/exp_dolly_flora_iid.yaml,neuro_part1_part2_4090,cuda,Dolly-3k parity run
4,part1_dolly,TinyLlama-1.1B,two_phase,iid,42,exp_dolly_two_phase_k8_iid,config/exp_dolly_two_phase_k8_iid.yaml,neuro_part1_part2_4090,cuda,Dolly-3k parity run
5,part1_dolly,TinyLlama-1.1B,two_phase,iid,123,exp_dolly_two_phase_k8_iid,config/exp_dolly_two_phase_k8_iid.yaml,neuro_part1_part2_4090,cuda,Dolly-3k parity run
6,part1_dolly,TinyLlama-1.1B,two_phase,iid,456,exp_dolly_two_phase_k8_iid,config/exp_dolly_two_phase_k8_iid.yaml,neuro_part1_part2_4090,cuda,Dolly-3k parity run
7,part1_dolly,TinyLlama-1.1B,reverse_adaptive,iid,42,exp_dolly_reverse_adaptive_iid,config/exp_dolly_reverse_adaptive_iid.yaml,neuro_part1_part2_4090,cuda,Dolly-3k parity run
8,part1_dolly,TinyLlama-1.1B,reverse_adaptive,iid,123,exp_dolly_reverse_adaptive_iid,config/exp_dolly_reverse_adaptive_iid.yaml,neuro_part1_part2_4090,cuda,Dolly-3k parity run
9,part1_dolly,TinyLlama-1.1B,reverse_adaptive,iid,456,exp_dolly_reverse_adaptive_iid,config/exp_dolly_reverse_adaptive_iid.yaml,neuro_part1_part2_4090,cuda,Dolly-3k parity run
10,part1_dolly,TinyLlama-1.1B,reverse_adaptive,noniid_alpha05,42,exp_dolly_reverse_adaptive_noniid_alpha05,config/exp_dolly_reverse_adaptive_noniid_alpha05.yaml,neuro_part1_part2_4090,cuda,Dolly-3k parity run
11,part1_dolly,TinyLlama-1.1B,reverse_adaptive,noniid_alpha05,123,exp_dolly_reverse_adaptive_noniid_alpha05,config/exp_dolly_reverse_adaptive_noniid_alpha05.yaml,neuro_part1_part2_4090,cuda,Dolly-3k parity run
12,part1_dolly,TinyLlama-1.1B,reverse_adaptive,noniid_alpha05,456,exp_dolly_reverse_adaptive_noniid_alpha05,config/exp_dolly_reverse_adaptive_noniid_alpha05.yaml,neuro_part1_part2_4090,cuda,Dolly-3k parity run
13,part2_baselines,TinyLlama-1.1B,ffa_lora,iid,42,exp_ffa_lora_iid,config/exp_ffa_lora_iid.yaml,neuro_part1_part2_4090,cuda,Published baseline
14,part2_baselines,TinyLlama-1.1B,ffa_lora,iid,123,exp_ffa_lora_iid,config/exp_ffa_lora_iid.yaml,neuro_part1_part2_4090,cuda,Published baseline
15,part2_baselines,TinyLlama-1.1B,ffa_lora,iid,456,exp_ffa_lora_iid,config/exp_ffa_lora_iid.yaml,neuro_part1_part2_4090,cuda,Published baseline
16,part2_baselines,TinyLlama-1.1B,ffa_lora,noniid_alpha05,42,exp_ffa_lora_noniid_alpha05,config/exp_ffa_lora_noniid_alpha05.yaml,neuro_part1_part2_4090,cuda,Published baseline
17,part2_baselines,TinyLlama-1.1B,ffa_lora,noniid_alpha05,123,exp_ffa_lora_noniid_alpha05,config/exp_ffa_lora_noniid_alpha05.yaml,neuro_part1_part2_4090,cuda,Published baseline
18,part2_baselines,TinyLlama-1.1B,ffa_lora,noniid_alpha05,456,exp_ffa_lora_noniid_alpha05,config/exp_ffa_lora_noniid_alpha05.yaml,neuro_part1_part2_4090,cuda,Published baseline
19,part2_baselines,TinyLlama-1.1B,fedit,iid,42,exp_fedit_iid,config/exp_fedit_iid.yaml,neuro_part1_part2_4090,cuda,Published baseline
20,part2_baselines,TinyLlama-1.1B,fedit,iid,123,exp_fedit_iid,config/exp_fedit_iid.yaml,neuro_part1_part2_4090,cuda,Published baseline
21,part2_baselines,TinyLlama-1.1B,fedit,iid,456,exp_fedit_iid,config/exp_fedit_iid.yaml,neuro_part1_part2_4090,cuda,Published baseline
22,part2_baselines,TinyLlama-1.1B,fedit,noniid_alpha05,42,exp_fedit_noniid_alpha05,config/exp_fedit_noniid_alpha05.yaml,neuro_part1_part2_4090,cuda,Published baseline
23,part2_baselines,TinyLlama-1.1B,fedit,noniid_alpha05,123,exp_fedit_noniid_alpha05,config/exp_fedit_noniid_alpha05.yaml,neuro_part1_part2_4090,cuda,Published baseline
24,part2_baselines,TinyLlama-1.1B,fedit,noniid_alpha05,456,exp_fedit_noniid_alpha05,config/exp_fedit_noniid_alpha05.yaml,neuro_part1_part2_4090,cuda,Published baseline
