exec_order,gate_role,model,method,data_setting,seed,experiment,config,switch_threshold,mps_results_json,mps_device,final_avg_loss,final_communication_mb,notes
1,gate1_noniid,TinyLlama-1.1B,reverse_adaptive,noniid_alpha0.5,42,exp_reverse_adaptive_noniid_alpha05,config/exp_reverse_adaptive_noniid_alpha05.yaml,,results/raw/exp_reverse_adaptive_noniid_alpha05/reverse_adaptive/seed_42/stage2_adaptive/20260502_232453/results.json,mps,1.285933,1533.1250,
2,gate2_flora_or_twophase,TinyLlama-1.1B,flora,iid,42,exp_flora_iid,config/exp_flora_iid.yaml,,results/raw/exp_flora_iid/flora/seed_42/run_07_of_18/20260428_153342/results.json,mps,1.259434,2578.1250,
3,remaining,TinyLlama-1.1B,flora,iid,123,exp_flora_iid,config/exp_flora_iid.yaml,,results/raw/exp_flora_iid/flora/seed_123/run_08_of_18/20260428_184234/results.json,mps,1.261163,2578.1250,
4,remaining,TinyLlama-1.1B,flora,iid,456,exp_flora_iid,config/exp_flora_iid.yaml,,results/raw/exp_flora_iid/flora/seed_456/run_09_of_18/20260428_215113/results.json,mps,1.260915,2578.1250,
5,remaining,TinyLlama-1.1B,flora,noniid_alpha0.5,42,exp_flora_noniid_alpha05,config/exp_flora_noniid_alpha05.yaml,,results/raw/exp_flora_noniid_alpha05/flora/seed_42/run_16_of_18/20260429_192712/results.json,mps,1.274544,2578.1250,
6,remaining,TinyLlama-1.1B,flora,noniid_alpha0.5,123,exp_flora_noniid_alpha05,config/exp_flora_noniid_alpha05.yaml,,results/raw/exp_flora_noniid_alpha05/flora/seed_123/run_17_of_18/20260429_223147/results.json,mps,1.272024,2578.1250,
7,remaining,TinyLlama-1.1B,flora,noniid_alpha0.5,456,exp_flora_noniid_alpha05,config/exp_flora_noniid_alpha05.yaml,,results/raw/exp_flora_noniid_alpha05/flora/seed_456/run_18_of_18/20260430_013838/results.json,mps,1.239670,2578.1250,
8,remaining,TinyLlama-1.1B,reverse_adaptive,iid,42,exp_reverse_adaptive_iid,config/exp_reverse_adaptive_iid.yaml,,results/raw/exp_reverse_adaptive_iid/reverse_adaptive/seed_42/stage2_adaptive/20260502_141513/results.json,mps,1.273557,1533.1250,
9,remaining,TinyLlama-1.1B,reverse_adaptive,iid,123,exp_reverse_adaptive_iid,config/exp_reverse_adaptive_iid.yaml,,results/raw/exp_reverse_adaptive_iid/reverse_adaptive/seed_123/stage2_adaptive/20260502_171633/results.json,mps,1.275234,1533.1250,
10,remaining,TinyLlama-1.1B,reverse_adaptive,iid,456,exp_reverse_adaptive_iid,config/exp_reverse_adaptive_iid.yaml,,results/raw/exp_reverse_adaptive_iid/reverse_adaptive/seed_456/stage2_adaptive/20260502_201916/results.json,mps,1.275107,1533.1250,
11,remaining,TinyLlama-1.1B,reverse_adaptive,iid_threshold_tau=0.001,42,exp_reverse_adaptive_threshold_ablation,config/exp_reverse_adaptive_threshold_ablation.yaml,0.001,results/raw/exp_reverse_adaptive_threshold_ablation/reverse_adaptive/seed_42/stage2_threshold_extended_0.001/20260504_060836/results.json,mps,1.263820,2083.1250,threshold ablation; pass --switch_threshold or --override on CUDA rerun
12,remaining,TinyLlama-1.1B,reverse_adaptive,iid_threshold_tau=0.002,42,exp_reverse_adaptive_threshold_ablation,config/exp_reverse_adaptive_threshold_ablation.yaml,0.002,results/raw/exp_reverse_adaptive_threshold_ablation/reverse_adaptive/seed_42/stage2_threshold_extended_0.002/20260504_091425/results.json,mps,1.267463,1863.1250,threshold ablation; pass --switch_threshold or --override on CUDA rerun
13,remaining,TinyLlama-1.1B,reverse_adaptive,iid_threshold_tau=0.005,42,exp_reverse_adaptive_threshold_ablation,config/exp_reverse_adaptive_threshold_ablation.yaml,0.005,results/raw/exp_reverse_adaptive_threshold_ablation/reverse_adaptive/seed_42/stage2_threshold_0.005/20260503_174607/results.json,mps,1.273557,1533.1250,threshold ablation; pass --switch_threshold or --override on CUDA rerun
14,remaining,TinyLlama-1.1B,reverse_adaptive,iid_threshold_tau=0.01,42,exp_reverse_adaptive_threshold_ablation,config/exp_reverse_adaptive_threshold_ablation.yaml,0.01,results/raw/exp_reverse_adaptive_threshold_ablation/reverse_adaptive/seed_42/stage2_threshold_0.01/20260503_205006/results.json,mps,1.273557,1533.1250,threshold ablation; pass --switch_threshold or --override on CUDA rerun
15,remaining,TinyLlama-1.1B,reverse_adaptive,noniid_alpha0.1,42,exp_reverse_adaptive_noniid_alpha01,config/exp_reverse_adaptive_noniid_alpha01.yaml,,results/raw/exp_reverse_adaptive_noniid_alpha01/reverse_adaptive/seed_42/stage2_adaptive/20260503_083751/results.json,mps,1.268353,1379.8125,
16,remaining,TinyLlama-1.1B,reverse_adaptive,noniid_alpha0.1,123,exp_reverse_adaptive_noniid_alpha01,config/exp_reverse_adaptive_noniid_alpha01.yaml,,results/raw/exp_reverse_adaptive_noniid_alpha01/reverse_adaptive/seed_123/stage2_adaptive/20260503_114223/results.json,mps,1.288985,1533.1250,
17,remaining,TinyLlama-1.1B,reverse_adaptive,noniid_alpha0.1,456,exp_reverse_adaptive_noniid_alpha01,config/exp_reverse_adaptive_noniid_alpha01.yaml,,results/raw/exp_reverse_adaptive_noniid_alpha01/reverse_adaptive/seed_456/stage2_adaptive/20260503_144422/results.json,mps,1.348083,1533.1250,
18,remaining,TinyLlama-1.1B,reverse_adaptive,noniid_alpha0.5,123,exp_reverse_adaptive_noniid_alpha05,config/exp_reverse_adaptive_noniid_alpha05.yaml,,results/raw/exp_reverse_adaptive_noniid_alpha05/reverse_adaptive/seed_123/stage2_adaptive/20260503_022754/results.json,mps,1.282625,1533.1250,
19,remaining,TinyLlama-1.1B,reverse_adaptive,noniid_alpha0.5,456,exp_reverse_adaptive_noniid_alpha05,config/exp_reverse_adaptive_noniid_alpha05.yaml,,results/raw/exp_reverse_adaptive_noniid_alpha05/reverse_adaptive/seed_456/stage2_adaptive/20260503_053234/results.json,mps,1.252133,1533.1250,
20,remaining,TinyLlama-1.1B,two_phase,iid,42,exp_two_phase_k8,config/exp_two_phase_k8.yaml,,results/raw/exp_two_phase_k8/two_phase/seed_42/stage1_bidirectional/20260501_150340/results.json,mps,1.269228,1863.1250,
21,remaining,TinyLlama-1.1B,two_phase,iid,123,exp_two_phase_k8,config/exp_two_phase_k8.yaml,,results/raw/exp_two_phase_k8/two_phase/seed_123/stage1_bidirectional/20260501_180732/results.json,mps,1.270852,1863.1250,
22,remaining,TinyLlama-1.1B,two_phase,iid,456,exp_two_phase_k8,config/exp_two_phase_k8.yaml,,results/raw/exp_two_phase_k8/two_phase/seed_456/stage1_bidirectional/20260501_211149/results.json,mps,1.270770,1863.1250,
23,remaining,TinyLlama-1.1B,two_phase,noniid_alpha0.5,42,exp_two_phase_k8_noniid_alpha05,config/exp_two_phase_k8_noniid_alpha05.yaml,,results/raw/exp_two_phase_k8_noniid_alpha05/two_phase/seed_42/run_10_of_18/20260429_005550/results.json,mps,1.283924,2578.1250,
24,remaining,TinyLlama-1.1B,two_phase,noniid_alpha0.5,123,exp_two_phase_k8_noniid_alpha05,config/exp_two_phase_k8_noniid_alpha05.yaml,,results/raw/exp_two_phase_k8_noniid_alpha05/two_phase/seed_123/run_11_of_18/20260429_040101/results.json,mps,1.280743,2578.1250,
25,remaining,TinyLlama-1.1B,two_phase,noniid_alpha0.5,456,exp_two_phase_k8_noniid_alpha05,config/exp_two_phase_k8_noniid_alpha05.yaml,,results/raw/exp_two_phase_k8_noniid_alpha05/two_phase/seed_456/run_12_of_18/20260429_070735/results.json,mps,1.249006,2578.1250,
26,remaining,LLaMA-3.2-3B,flora,iid,42,exp_llama3_flora_iid,config/exp_llama3_flora_iid.yaml,,results/raw/exp_llama3_flora_iid/flora/seed_42/stage5_llama3_full/20260506_172045/results.json,mps,1.371683,2625.0000,
27,remaining,LLaMA-3.2-3B,flora,iid,123,exp_llama3_flora_iid,config/exp_llama3_flora_iid.yaml,,results/raw/exp_llama3_flora_iid/flora/seed_123/stage5_llama3_extra_seeds/20260513_205442/results.json,mps,1.373402,2625.0000,
28,remaining,LLaMA-3.2-3B,flora,iid,456,exp_llama3_flora_iid,config/exp_llama3_flora_iid.yaml,,results/raw/exp_llama3_flora_iid/flora/seed_456/stage5_llama3_extra_seeds/20260514_193332/results.json,mps,1.371998,2625.0000,
