experiment,tag,seed,run_directory,git_commit,final_communication_mb,final_avg_loss
exp_dolly_flora_iid,seed_123,123,exp_dolly_flora_iid/flora/seed_123/run_02_of_24/neuro_part12_qvonly/20260726_235500,cae4c328930088f607c817e0df81711b5c775a86,2578.125,1.6529338139692942
exp_dolly_flora_iid,seed_123,123,exp_dolly_flora_iid/flora/seed_123/run_02_of_24/neuro_part1_part2_4090/20260726_020621,8cddb8b376cd1ccdd7a1fd3655f2c6fe03757e3d,5156.25,1.6121582971413928
exp_dolly_flora_iid,seed_42,42,exp_dolly_flora_iid/flora/seed_42/run_01_of_24/neuro_part12_qvonly/20260726_232345,cae4c328930088f607c817e0df81711b5c775a86,2578.125,1.656762192805608
exp_dolly_flora_iid,seed_42,42,exp_dolly_flora_iid/flora/seed_42/run_01_of_24/neuro_part1_part2_4090/20260726_013041,8cddb8b376cd1ccdd7a1fd3655f2c6fe03757e3d,5156.25,1.6153173122406006
exp_dolly_flora_iid,seed_456,456,exp_dolly_flora_iid/flora/seed_456/run_03_of_24/neuro_part12_qvonly/20260727_002631,cae4c328930088f607c817e0df81711b5c775a86,2578.125,1.6534258423646293
exp_dolly_flora_iid,seed_456,456,exp_dolly_flora_iid/flora/seed_456/run_03_of_24/neuro_part1_part2_4090/20260726_024214,8cddb8b376cd1ccdd7a1fd3655f2c6fe03757e3d,5156.25,1.6130638132890067
exp_dolly_reverse_adaptive_iid,seed_123,123,exp_dolly_reverse_adaptive_iid/reverse_adaptive/seed_123/run_08_of_24/neuro_part12_qvonly/20260727_025712,cae4c328930088f607c817e0df81711b5c775a86,1533.125,1.666994737784068
exp_dolly_reverse_adaptive_iid,seed_123,123,exp_dolly_reverse_adaptive_iid/reverse_adaptive/seed_123/run_08_of_24/neuro_part1_part2_4090/20260726_052719,8cddb8b376cd1ccdd7a1fd3655f2c6fe03757e3d,3066.25,1.6345280536810556
exp_dolly_reverse_adaptive_iid,seed_42,42,exp_dolly_reverse_adaptive_iid/reverse_adaptive/seed_42/run_07_of_24/neuro_part12_qvonly/20260727_022830,cae4c328930088f607c817e0df81711b5c775a86,1533.125,1.6710390600363414
exp_dolly_reverse_adaptive_iid,seed_42,42,exp_dolly_reverse_adaptive_iid/reverse_adaptive/seed_42/run_07_of_24/neuro_part1_part2_4090/20260726_045552,8cddb8b376cd1ccdd7a1fd3655f2c6fe03757e3d,3066.25,1.6377309959729511
exp_dolly_reverse_adaptive_iid,seed_456,456,exp_dolly_reverse_adaptive_iid/reverse_adaptive/seed_456/run_09_of_24/neuro_part12_qvonly/20260727_032532,cae4c328930088f607c817e0df81711b5c775a86,1533.125,1.667698979218801
exp_dolly_reverse_adaptive_iid,seed_456,456,exp_dolly_reverse_adaptive_iid/reverse_adaptive/seed_456/run_09_of_24/neuro_part1_part2_4090/20260726_055829,8cddb8b376cd1ccdd7a1fd3655f2c6fe03757e3d,3066.25,1.6353809917767843
exp_dolly_reverse_adaptive_noniid_alpha05,seed_123,123,exp_dolly_reverse_adaptive_noniid_alpha05/reverse_adaptive/seed_123/run_11_of_24/neuro_part12_qvonly/20260727_042229,cae4c328930088f607c817e0df81711b5c775a86,1533.125,1.6688285750197682
exp_dolly_reverse_adaptive_noniid_alpha05,seed_123,123,exp_dolly_reverse_adaptive_noniid_alpha05/reverse_adaptive/seed_123/run_11_of_24/neuro_part1_part2_4090/20260726_070023,8cddb8b376cd1ccdd7a1fd3655f2c6fe03757e3d,3066.25,1.6359545521517493
exp_dolly_reverse_adaptive_noniid_alpha05,seed_42,42,exp_dolly_reverse_adaptive_noniid_alpha05/reverse_adaptive/seed_42/run_10_of_24/neuro_part12_qvonly/20260727_035407,cae4c328930088f607c817e0df81711b5c775a86,1533.125,1.643898467500731
exp_dolly_reverse_adaptive_noniid_alpha05,seed_42,42,exp_dolly_reverse_adaptive_noniid_alpha05/reverse_adaptive/seed_42/run_10_of_24/neuro_part1_part2_4090/20260726_062919,8cddb8b376cd1ccdd7a1fd3655f2c6fe03757e3d,3066.25,1.6114130635282347
exp_dolly_reverse_adaptive_noniid_alpha05,seed_456,456,exp_dolly_reverse_adaptive_noniid_alpha05/reverse_adaptive/seed_456/run_12_of_24/neuro_part12_qvonly/20260727_045209,cae4c328930088f607c817e0df81711b5c775a86,1533.125,1.6591182565832743
exp_dolly_reverse_adaptive_noniid_alpha05,seed_456,456,exp_dolly_reverse_adaptive_noniid_alpha05/reverse_adaptive/seed_456/run_12_of_24/neuro_part1_part2_4090/20260726_073148,8cddb8b376cd1ccdd7a1fd3655f2c6fe03757e3d,3066.25,1.626211885380063
exp_dolly_two_phase_k8_iid,seed_123,123,exp_dolly_two_phase_k8_iid/two_phase/seed_123/run_05_of_24/neuro_part12_qvonly/20260727_012753,cae4c328930088f607c817e0df81711b5c775a86,1863.125,1.6626846997737885
exp_dolly_two_phase_k8_iid,seed_123,123,exp_dolly_two_phase_k8_iid/two_phase/seed_123/run_05_of_24/neuro_part1_part2_4090/20260726_035051,8cddb8b376cd1ccdd7a1fd3655f2c6fe03757e3d,3726.25,1.627855993827184
exp_dolly_two_phase_k8_iid,seed_42,42,exp_dolly_two_phase_k8_iid/two_phase/seed_42/run_04_of_24/neuro_part12_qvonly/20260727_005833,cae4c328930088f607c817e0df81711b5c775a86,1863.125,1.6666163043181101
exp_dolly_two_phase_k8_iid,seed_42,42,exp_dolly_two_phase_k8_iid/two_phase/seed_42/run_04_of_24/neuro_part1_part2_4090/20260726_031841,8cddb8b376cd1ccdd7a1fd3655f2c6fe03757e3d,3726.25,1.6308944354057313
exp_dolly_two_phase_k8_iid,seed_456,456,exp_dolly_two_phase_k8_iid/two_phase/seed_456/run_06_of_24/neuro_part12_qvonly/20260727_015800,cae4c328930088f607c817e0df81711b5c775a86,1863.125,1.6634749263127646
exp_dolly_two_phase_k8_iid,seed_456,456,exp_dolly_two_phase_k8_iid/two_phase/seed_456/run_06_of_24/neuro_part1_part2_4090/20260726_042320,8cddb8b376cd1ccdd7a1fd3655f2c6fe03757e3d,3726.25,1.6288284528255463
exp_fedit_iid,seed_123,123,exp_fedit_iid/fedit/seed_123/run_20_of_24/neuro_part12_qvonly/20260727_083023,cae4c328930088f607c817e0df81711b5c775a86,2578.125,1.2584201406637827
exp_fedit_iid,seed_123,123,exp_fedit_iid/fedit/seed_123/run_20_of_24/neuro_part1_part2_4090/20260726_112121,8cddb8b376cd1ccdd7a1fd3655f2c6fe03757e3d,5156.25,1.216947789112727
exp_fedit_iid,seed_42,42,exp_fedit_iid/fedit/seed_42/run_19_of_24/neuro_part12_qvonly/20260727_080321,cae4c328930088f607c817e0df81711b5c775a86,2578.125,1.2607665650844573
exp_fedit_iid,seed_42,42,exp_fedit_iid/fedit/seed_42/run_19_of_24/neuro_part1_part2_4090/20260726_105238,8cddb8b376cd1ccdd7a1fd3655f2c6fe03757e3d,5156.25,1.2193662008444468
exp_fedit_iid,seed_456,456,exp_fedit_iid/fedit/seed_456/run_21_of_24/neuro_part12_qvonly/20260727_085728,cae4c328930088f607c817e0df81711b5c775a86,2578.125,1.261502718448639
exp_fedit_iid,seed_456,456,exp_fedit_iid/fedit/seed_456/run_21_of_24/neuro_part1_part2_4090/20260726_115004,8cddb8b376cd1ccdd7a1fd3655f2c6fe03757e3d,5156.25,1.2195236667792002
exp_fedit_noniid_alpha05,seed_123,123,exp_fedit_noniid_alpha05/fedit/seed_123/run_23_of_24/neuro_part12_qvonly/20260727_095211,cae4c328930088f607c817e0df81711b5c775a86,2578.125,1.2576958119979011
exp_fedit_noniid_alpha05,seed_123,123,exp_fedit_noniid_alpha05/fedit/seed_123/run_23_of_24/neuro_part1_part2_4090/20260726_124755,8cddb8b376cd1ccdd7a1fd3655f2c6fe03757e3d,5156.25,1.2180710221804831
exp_fedit_noniid_alpha05,seed_42,42,exp_fedit_noniid_alpha05/fedit/seed_42/run_22_of_24/neuro_part12_qvonly/20260727_092514,cae4c328930088f607c817e0df81711b5c775a86,2578.125,1.2763527002497117
exp_fedit_noniid_alpha05,seed_42,42,exp_fedit_noniid_alpha05/fedit/seed_42/run_22_of_24/neuro_part1_part2_4090/20260726_121849,8cddb8b376cd1ccdd7a1fd3655f2c6fe03757e3d,5156.25,1.2351924328744102
exp_fedit_noniid_alpha05,seed_456,456,exp_fedit_noniid_alpha05/fedit/seed_456/run_24_of_24/neuro_part12_qvonly/20260727_101918,cae4c328930088f607c817e0df81711b5c775a86,2578.125,1.2376795393785183
exp_fedit_noniid_alpha05,seed_456,456,exp_fedit_noniid_alpha05/fedit/seed_456/run_24_of_24/neuro_part1_part2_4090/20260726_131638,8cddb8b376cd1ccdd7a1fd3655f2c6fe03757e3d,5156.25,1.196363167658257
exp_ffa_lora_iid,seed_123,123,exp_ffa_lora_iid/ffa_lora/seed_123/run_14_of_24/neuro_part12_qvonly/20260727_054832,cae4c328930088f607c817e0df81711b5c775a86,983.125,1.3017383666038513
exp_ffa_lora_iid,seed_123,123,exp_ffa_lora_iid/ffa_lora/seed_123/run_14_of_24/neuro_part1_part2_4090/20260726_083114,8cddb8b376cd1ccdd7a1fd3655f2c6fe03757e3d,1966.25,1.2619129726092022
exp_ffa_lora_iid,seed_42,42,exp_ffa_lora_iid/ffa_lora/seed_42/run_13_of_24/neuro_part12_qvonly/20260727_052118,cae4c328930088f607c817e0df81711b5c775a86,983.125,1.3039754022757213
exp_ffa_lora_iid,seed_42,42,exp_ffa_lora_iid/ffa_lora/seed_42/run_13_of_24/neuro_part1_part2_4090/20260726_080311,8cddb8b376cd1ccdd7a1fd3655f2c6fe03757e3d,1966.25,1.2635532340208688
exp_ffa_lora_iid,seed_456,456,exp_ffa_lora_iid/ffa_lora/seed_456/run_15_of_24/neuro_part12_qvonly/20260727_061538,cae4c328930088f607c817e0df81711b5c775a86,983.125,1.303627796490987
exp_ffa_lora_iid,seed_456,456,exp_ffa_lora_iid/ffa_lora/seed_456/run_15_of_24/neuro_part1_part2_4090/20260726_085922,8cddb8b376cd1ccdd7a1fd3655f2c6fe03757e3d,1966.25,1.2637779778639475
exp_ffa_lora_noniid_alpha05,seed_123,123,exp_ffa_lora_noniid_alpha05/ffa_lora/seed_123/run_17_of_24/neuro_part12_qvonly/20260727_070935,cae4c328930088f607c817e0df81711b5c775a86,983.125,1.2956036092321064
exp_ffa_lora_noniid_alpha05,seed_123,123,exp_ffa_lora_noniid_alpha05/ffa_lora/seed_123/run_17_of_24/neuro_part1_part2_4090/20260726_095600,8cddb8b376cd1ccdd7a1fd3655f2c6fe03757e3d,1966.25,1.2594754472421572
exp_ffa_lora_noniid_alpha05,seed_42,42,exp_ffa_lora_noniid_alpha05/ffa_lora/seed_42/run_16_of_24/neuro_part12_qvonly/20260727_064248,cae4c328930088f607c817e0df81711b5c775a86,983.125,1.315078477167663
exp_ffa_lora_noniid_alpha05,seed_42,42,exp_ffa_lora_noniid_alpha05/ffa_lora/seed_42/run_16_of_24/neuro_part1_part2_4090/20260726_092718,8cddb8b376cd1ccdd7a1fd3655f2c6fe03757e3d,1966.25,1.2769692550546288
exp_ffa_lora_noniid_alpha05,seed_456,456,exp_ffa_lora_noniid_alpha05/ffa_lora/seed_456/run_18_of_24/neuro_part12_qvonly/20260727_073628,cae4c328930088f607c817e0df81711b5c775a86,983.125,1.2784549490198116
exp_ffa_lora_noniid_alpha05,seed_456,456,exp_ffa_lora_noniid_alpha05/ffa_lora/seed_456/run_18_of_24/neuro_part1_part2_4090/20260726_102431,8cddb8b376cd1ccdd7a1fd3655f2c6fe03757e3d,1966.25,1.2393441184604712
exp_flora_iid,seed_123,123,exp_flora_iid/flora/seed_123/phase1_cuda_rerun/20260715_035242,7b95775212fc55e98ab17396d43f1d7be8565943,2578.125,1.2604785989920297
exp_flora_iid,seed_123,123,exp_flora_iid/flora/seed_123/run_08_of_18/20260428_184234,2d07cd9d49d672a2eb55f71de19d951d7a7dfb18,2578.125,1.2611626766522726
exp_flora_iid,seed_42,42,exp_flora_iid/flora/seed_42/phase1_cuda_rerun/20260715_021226,7b95775212fc55e98ab17396d43f1d7be8565943,2578.125,1.2614079749584197
exp_flora_iid,seed_42,42,exp_flora_iid/flora/seed_42/run_07_of_18/20260428_153342,2d07cd9d49d672a2eb55f71de19d951d7a7dfb18,2578.125,1.2594342811902364
exp_flora_iid,seed_42,42,exp_flora_iid/flora/seed_42/stage3_checkpoint/20260506_065929,c32967b2ca93a52642ad0e394a9946eb94c40165,2578.125,1.261351112683614
exp_flora_iid,seed_456,456,exp_flora_iid/flora/seed_456/phase1_cuda_rerun/20260715_052914,7b95775212fc55e98ab17396d43f1d7be8565943,2578.125,1.260500192562739
exp_flora_iid,seed_456,456,exp_flora_iid/flora/seed_456/run_09_of_18/20260428_215113,2d07cd9d49d672a2eb55f71de19d951d7a7dfb18,2578.125,1.2609145652453104
exp_flora_noniid_alpha01,seed_123,123,exp_flora_noniid_alpha01/flora/seed_123/phase1b_alpha01_baselines/20260716_204923,84c672d32e3072b07b7c7588aa908dbde2f2a034,2578.125,1.2897024125031542
exp_flora_noniid_alpha01,seed_42,42,exp_flora_noniid_alpha01/flora/seed_42/phase1b_alpha01_baselines/20260716_201548,84c672d32e3072b07b7c7588aa908dbde2f2a034,2320.3125,1.2490863071501974
exp_flora_noniid_alpha01,seed_456,456,exp_flora_noniid_alpha01/flora/seed_456/phase1b_alpha01_baselines/20260716_212307,84c672d32e3072b07b7c7588aa908dbde2f2a034,2578.125,1.3316816900405368
exp_flora_noniid_alpha05,seed_123,123,exp_flora_noniid_alpha05/flora/seed_123/phase1_cuda_rerun/20260715_083036,7b95775212fc55e98ab17396d43f1d7be8565943,2578.125,1.2608345833704706
exp_flora_noniid_alpha05,seed_123,123,exp_flora_noniid_alpha05/flora/seed_123/run_17_of_18/20260429_223147,2d07cd9d49d672a2eb55f71de19d951d7a7dfb18,2578.125,1.2720238860615845
exp_flora_noniid_alpha05,seed_42,42,exp_flora_noniid_alpha05/flora/seed_42/phase1_cuda_rerun/20260715_070023,7b95775212fc55e98ab17396d43f1d7be8565943,2578.125,1.2840850246917586
exp_flora_noniid_alpha05,seed_42,42,exp_flora_noniid_alpha05/flora/seed_42/run_16_of_18/20260429_192712,2d07cd9d49d672a2eb55f71de19d951d7a7dfb18,2578.125,1.2745444993684871
exp_flora_noniid_alpha05,seed_456,456,exp_flora_noniid_alpha05/flora/seed_456/phase1_cuda_rerun/20260715_100237,7b95775212fc55e98ab17396d43f1d7be8565943,2578.125,1.2338129157554323
exp_flora_noniid_alpha05,seed_456,456,exp_flora_noniid_alpha05/flora/seed_456/run_18_of_18/20260430_013838,2d07cd9d49d672a2eb55f71de19d951d7a7dfb18,2578.125,1.239670210884628
exp_llama3_flora_iid,seed_123,123,exp_llama3_flora_iid/flora/seed_123/phase1_cuda_rerun/20260715_053535,e004f856517687dad3388e90f889671074902569,2625.0,1.3752930073142051
exp_llama3_flora_iid,seed_123,123,exp_llama3_flora_iid/flora/seed_123/stage5_llama3_extra_seeds/20260513_205442,e67fa6b0eaa9e0d703d7a46e467d675f3d18dbc8,2625.0,1.37340240530173
exp_llama3_flora_iid,seed_42,42,exp_llama3_flora_iid/flora/seed_42/llama3_smoke/20260505_152953,5273958a5e099162a45fffc933fe41e845b15192,35.0,1.0757838934659958
exp_llama3_flora_iid,seed_42,42,exp_llama3_flora_iid/flora/seed_42/llama3_smoke/20260505_172024,c32967b2ca93a52642ad0e394a9946eb94c40165,35.0,1.6189914691050848
exp_llama3_flora_iid,seed_42,42,exp_llama3_flora_iid/flora/seed_42/llama3_smoke/20260506_164739,d6f903880a51aa586366290ef882003a178f796c,35.0,1.6189914691050848
exp_llama3_flora_iid,seed_42,42,exp_llama3_flora_iid/flora/seed_42/llama3_smoke_fp32/20260505_164105,d664cc038846c52ad641016dd558643f87931961,70.0,1.6175644410053889
exp_llama3_flora_iid,seed_42,42,exp_llama3_flora_iid/flora/seed_42/llama3_smoke_lr1e-5/20260505_162420,d664cc038846c52ad641016dd558643f87931961,35.0,1.0757838934659958
exp_llama3_flora_iid,seed_42,42,exp_llama3_flora_iid/flora/seed_42/llama3_smoke_lr5e-5/20260505_154952,d664cc038846c52ad641016dd558643f87931961,35.0,1.0757838934659958
exp_llama3_flora_iid,seed_42,42,exp_llama3_flora_iid/flora/seed_42/phase1_cuda_rerun/20260715_043024,e004f856517687dad3388e90f889671074902569,2625.0,1.3735539740920069
exp_llama3_flora_iid,seed_42,42,exp_llama3_flora_iid/flora/seed_42/stage5_llama3_full/20260506_172045,d6f903880a51aa586366290ef882003a178f796c,2625.0,1.371683085779349
exp_llama3_flora_iid,seed_456,456,exp_llama3_flora_iid/flora/seed_456/phase1_cuda_rerun/20260715_064055,e004f856517687dad3388e90f889671074902569,2625.0,1.3738961615562437
exp_llama3_flora_iid,seed_456,456,exp_llama3_flora_iid/flora/seed_456/stage5_llama3_extra_seeds/20260514_193332,6de806bb0cf0faaaa520c7145b24a94d0c680dc2,2625.0,1.37199816040198
