Novel methods batch summary
Generated: 2026-04-26T14:46:46
Workspace: /Users/jerryadamsfranklin/Documents/Git Repos/federated-lora-experiments

run          | exp                       | method              | rounds | final_loss | final_comm_mb | notes                                                            | results_path                                                                                       
-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
             | ablation_hard_transition  | fedlora_adaptive_v2 | 15     | 1.27153    | 1289.06       |                                                                  | results/raw/ablation_hard_transition/fedlora_adaptive_v2/seed_42/20260424_142251/results.json      
             | exp1_iid                  | fedit               | 30     | 0.958399   | 2578.12       |                                                                  | results/raw/exp1_iid/fedit/seed_unknown/20260415_233512/results.json                               
             | exp_adaptive_v2           | fedit               | 15     | 1.26172    | 1289.06       |                                                                  | results/raw/exp_adaptive_v2/fedit/seed_42/20260423_164253/results.json                             
             | exp_adaptive_v2           | fedlora_adaptive    | 15     | 1.27101    | 1289.06       |                                                                  | results/raw/exp_adaptive_v2/fedlora_adaptive/seed_42/20260424_045423/results.json                  
             | exp_adaptive_v2           | fedlora_adaptive_v2 | 15     | 1.27359    | 1289.06       |                                                                  | results/raw/exp_adaptive_v2/fedlora_adaptive_v2/seed_42/20260424_111323/results.json               
             | exp_adaptive_v2           | ffa_lora            | 15     | 1.30456    | 1289.06       |                                                                  | results/raw/exp_adaptive_v2/ffa_lora/seed_42/20260423_194244/results.json                          
             | exp_adaptive_v2           | flexlora            | 15     | 1.25943    | 1289.06       |                                                                  | results/raw/exp_adaptive_v2/flexlora/seed_42/20260424_014744/results.json                          
             | exp_adaptive_v2           | flora               | 15     | 1.25943    | 1289.06       |                                                                  | results/raw/exp_adaptive_v2/flora/seed_42/20260423_224153/results.json                             
             | revised_exp1_iid          | fedit               | 15     | 1.23159    | 1289.06       |                                                                  | results/raw/revised_exp1_iid/fedit/seed_unknown/20260417_235742/results.json                       
             | revised_exp1_iid          | fedlora_adaptive    | 15     | 1.21975    | 1053.59       |                                                                  | results/raw/revised_exp1_iid/fedlora_adaptive/seed_unknown/20260423_120516/results.json            
             | revised_exp1_iid          | ffa_lora            | 15     | 1.27959    | 464.062       |                                                                  | results/raw/revised_exp1_iid/ffa_lora/seed_unknown/20260418_075840/results.json                    
             | revised_exp1_iid          | flexlora            | 15     | 1.21891    | 1289.06       |                                                                  | results/raw/revised_exp1_iid/flexlora/seed_unknown/20260418_184429/results.json                    
             | revised_exp1_iid          | flora               | 15     | 1.21891    | 1289.06       |                                                                  | results/raw/revised_exp1_iid/flora/seed_unknown/20260418_153854/results.json                       
             | revised_exp1_iid_lr1e4    | flexlora            | 15     | 1.25943    | 1289.06       |                                                                  | results/raw/revised_exp1_iid_lr1e4/flexlora/seed_unknown/20260422_200424/results.json              
             | revised_exp1_iid_lr1e4    | flora               | 15     | 1.25943    | 1289.06       |                                                                  | results/raw/revised_exp1_iid_lr1e4/flora/seed_unknown/20260422_165929/results.json                 
             | revised_exp2_noniid_label | fedit               | 15     | 1.5961     | 1289.06       |                                                                  | results/raw/revised_exp2_noniid_label/fedit/seed_unknown/20260423_064751/results.json              
             | revised_exp2_noniid_label | ffa_lora            | 15     | 2.93175    | 464.062       |                                                                  | results/raw/revised_exp2_noniid_label/ffa_lora/seed_unknown/20260419_014857/results.json           
             | revised_exp2_noniid_label | flexlora            | 15     | 2.7095     | 1289.06       |                                                                  | results/raw/revised_exp2_noniid_label/flexlora/seed_unknown/20260419_075954/results.json           
             | revised_exp2_noniid_label | flora               | 15     | 2.7095     | 1289.06       |                                                                  | results/raw/revised_exp2_noniid_label/flora/seed_unknown/20260419_045124/results.json              
             | revised_exp3_noniid_qty   | fedit               | 15     | 1.25158    | 1289.06       |                                                                  | results/raw/revised_exp3_noniid_qty/fedit/seed_unknown/20260419_111407/results.json                
             | revised_exp3_noniid_qty   | ffa_lora            | 15     | 1.28911    | 464.062       |                                                                  | results/raw/revised_exp3_noniid_qty/ffa_lora/seed_unknown/20260419_141144/results.json             
             | revised_exp3_noniid_qty   | flexlora            | 15     | 1.23224    | 1289.06       |                                                                  | results/raw/revised_exp3_noniid_qty/flexlora/seed_unknown/20260423_022253/results.json             
             | revised_exp3_noniid_qty   | flora               | 15     | 1.23413    | 1289.06       |                                                                  | results/raw/revised_exp3_noniid_qty/flora/seed_unknown/20260422_231640/results.json                
             | revised_exp4_rank         | fedit               | 15     | 1.22631    | 1289.06       |                                                                  | results/raw/revised_exp4_rank/fedit/seed_unknown_r16/20260420_012938/results.json                  
             | revised_exp4_rank         | fedit               | 15     | 1.22823    | 2578.12       |                                                                  | results/raw/revised_exp4_rank/fedit/seed_unknown_r32/20260420_033301/results.json                  
             | revised_exp4_rank         | fedit               | 15     | 1.22975    | 644.531       |                                                                  | results/raw/revised_exp4_rank/fedit/seed_unknown_r8/20260419_232724/results.json                   
             | revised_exp4_rank         | ffa_lora            | 15     | 1.27769    | 464.062       |                                                                  | results/raw/revised_exp4_rank/ffa_lora/seed_unknown_r16/20260420_073956/results.json               
             | revised_exp4_rank         | ffa_lora            | 15     | 1.27833    | 928.125       |                                                                  | results/raw/revised_exp4_rank/ffa_lora/seed_unknown_r32/20260420_094240/results.json               
             | revised_exp4_rank         | ffa_lora            | 15     | 1.27999    | 232.031       |                                                                  | results/raw/revised_exp4_rank/ffa_lora/seed_unknown_r8/20260420_053701/results.json                
             | revised_exp5_scaling      | fedit               | 15     | 1.23159    | 1289.06       |                                                                  | results/raw/revised_exp5_scaling/fedit/seed_unknown_c10/20260420_144917/results.json               
             | revised_exp5_scaling      | fedit               | 15     | 1.17615    | 644.531       |                                                                  | results/raw/revised_exp5_scaling/fedit/seed_unknown_c5/20260420_115001/results.json                
             | revised_exp5_scaling      | flora               | 15     | 1.21891    | 1289.06       |                                                                  | results/raw/revised_exp5_scaling/flora/seed_unknown_c10/20260420_205502/results.json               
             | revised_exp5_scaling      | flora               | 15     | 1.14503    | 644.531       |                                                                  | results/raw/revised_exp5_scaling/flora/seed_unknown_c5/20260420_175026/results.json                
             | smoke_novel_2round        | budget_adaptive     | 2      | 1.30326    | 171.875       | budget=1e+06 spent=171.875 flora=2 ffa=0 methods=FF              | results/raw/smoke_novel_2round/budget_adaptive/seed_42/20260424_213019/results.json                
             | smoke_novel_2round        | reverse_adaptive    | 2      | 1.30326    | 171.875       | mode=FLoRA switch=None reverts=0 savings=0                       | results/raw/smoke_novel_2round/reverse_adaptive/seed_42/20260424_210434/results.json               
             | smoke_novel_2round        | two_phase           | 2      | 1.30629    | 171.875       | K=1 phase2_rounds=1 savings=0.32                                 | results/raw/smoke_novel_2round/two_phase/seed_42/20260424_203902/results.json                      
run_01_of_12 | exp_two_phase_k5          | two_phase           | 15     | 1.27599    | 1289.06       | K=5 phase2_rounds=10 savings=0.426667                            | results/raw/exp_two_phase_k5/two_phase/seed_42/run_01_of_12/20260425_015711/results.json           
run_02_of_12 | exp_two_phase_k8          | two_phase           | 15     | 1.26923    | 1289.06       | K=8 phase2_rounds=7 savings=0.298667                             | results/raw/exp_two_phase_k8/two_phase/seed_42/run_02_of_12/20260425_045845/results.json           
run_03_of_12 | exp_two_phase_k10         | two_phase           | 15     | 1.26545    | 1289.06       | K=10 phase2_rounds=5 savings=0.213333                            | results/raw/exp_two_phase_k10/two_phase/seed_42/run_03_of_12/20260425_080244/results.json          
run_04_of_12 | exp_two_phase_k12         | two_phase           | 15     | 1.26197    | 1289.06       | K=12 phase2_rounds=3 savings=0.128                               | results/raw/exp_two_phase_k12/two_phase/seed_42/run_04_of_12/20260425_110555/results.json          
run_05_of_12 | exp_reverse_adaptive      | reverse_adaptive    | 15     | 1.27351    | 1289.06       | mode=FFA-LoRA switch=6 reverts=0 savings=0.384                   | results/raw/exp_reverse_adaptive/reverse_adaptive/seed_42/run_05_of_12/20260425_140923/results.json
run_06_of_12 | exp_budget_800            | budget_adaptive     | 15     | 1.27351    | 1289.06       | budget=800 spent=794.062 flora=6 ffa=9 methods=FFFFFFfffffffff   | results/raw/exp_budget_800/budget_adaptive/seed_42/run_06_of_12/20260425_170800/results.json       
run_07_of_12 | exp_budget_1200           | budget_adaptive     | 15     | 1.26033    | 1289.06       | budget=1200 spent=1179.06 flora=13 ffa=2 methods=FFFFFFFFFFFFFff | results/raw/exp_budget_1200/budget_adaptive/seed_42/run_07_of_12/20260425_201049/results.json      
run_08_of_12 | exp_budget_1600           | budget_adaptive     | 15     | 1.25943    | 1289.06       | budget=1600 spent=1289.06 flora=15 ffa=0 methods=FFFFFFFFFFFFFFF | results/raw/exp_budget_1600/budget_adaptive/seed_42/run_08_of_12/20260425_231439/results.json      
run_09_of_12 | exp_budget_2000           | budget_adaptive     | 15     | 1.25943    | 1289.06       | budget=2000 spent=1289.06 flora=15 ffa=0 methods=FFFFFFFFFFFFFFF | results/raw/exp_budget_2000/budget_adaptive/seed_42/run_09_of_12/20260426_021735/results.json      
run_10_of_12 | exp                       | flora               | 15     | 1.25943    | 1289.06       |                                                                  | results/raw/exp/flora/seed_42/run_10_of_12/20260426_052304/results.json                            
run_11_of_12 | exp                       | ffa_lora            | 15     | 1.30456    | 1289.06       |                                                                  | results/raw/exp/ffa_lora/seed_42/run_11_of_12/20260426_082935/results.json                         
