exp_name,seed,corpus,tag,git_commit,run_path,final_avg_loss,total_communication_mb,backs
exp_flora_iid,123,CUDA,phase1_cuda_rerun,7b95775212fc55e98ab17396d43f1d7be8565943,results/raw/exp_flora_iid/flora/seed_123/phase1_cuda_rerun/20260715_035242,1.260478599,2578.125,Table2_TableS1_CUDA_primary;AppendixE_crossbackend
exp_flora_iid,42,CUDA,phase1_cuda_rerun,7b95775212fc55e98ab17396d43f1d7be8565943,results/raw/exp_flora_iid/flora/seed_42/phase1_cuda_rerun/20260715_021226,1.261407975,2578.125,Table2_TableS1_CUDA_primary;AppendixE_crossbackend
exp_flora_iid,456,CUDA,phase1_cuda_rerun,7b95775212fc55e98ab17396d43f1d7be8565943,results/raw/exp_flora_iid/flora/seed_456/phase1_cuda_rerun/20260715_052914,1.2605001926,2578.125,Table2_TableS1_CUDA_primary;AppendixE_crossbackend
exp_flora_noniid_alpha05,123,CUDA,phase1_cuda_rerun,7b95775212fc55e98ab17396d43f1d7be8565943,results/raw/exp_flora_noniid_alpha05/flora/seed_123/phase1_cuda_rerun/20260715_083036,1.2608345834,2578.125,AppendixE_crossbackend_CUDA_source_of_truth
exp_flora_noniid_alpha05,42,CUDA,phase1_cuda_rerun,7b95775212fc55e98ab17396d43f1d7be8565943,results/raw/exp_flora_noniid_alpha05/flora/seed_42/phase1_cuda_rerun/20260715_070023,1.2840850247,2578.125,AppendixE_crossbackend_CUDA_source_of_truth
exp_flora_noniid_alpha05,456,CUDA,phase1_cuda_rerun,7b95775212fc55e98ab17396d43f1d7be8565943,results/raw/exp_flora_noniid_alpha05/flora/seed_456/phase1_cuda_rerun/20260715_100237,1.2338129158,2578.125,AppendixE_crossbackend_CUDA_source_of_truth
exp_reverse_adaptive_iid,123,CUDA,phase1_cuda_rerun,7b95775212fc55e98ab17396d43f1d7be8565943,results/raw/exp_reverse_adaptive_iid/reverse_adaptive/seed_123/phase1_cuda_rerun/20260715_121855,1.2746100099,1533.125,Table2_TableS1_CUDA_primary;AppendixE_crossbackend
exp_reverse_adaptive_iid,42,CUDA,phase1_cuda_rerun,7b95775212fc55e98ab17396d43f1d7be8565943,results/raw/exp_reverse_adaptive_iid/reverse_adaptive/seed_42/phase1_cuda_rerun/20260715_112811,1.2755135796,1533.125,Table2_TableS1_CUDA_primary;AppendixE_crossbackend
exp_reverse_adaptive_iid,456,CUDA,phase1_cuda_rerun,7b95775212fc55e98ab17396d43f1d7be8565943,results/raw/exp_reverse_adaptive_iid/reverse_adaptive/seed_456/phase1_cuda_rerun/20260715_130847,1.2744812861,1533.125,Table2_TableS1_CUDA_primary;AppendixE_crossbackend
exp_reverse_adaptive_noniid_alpha05,123,CUDA,phase1_cuda_rerun,7b95775212fc55e98ab17396d43f1d7be8565943,results/raw/exp_reverse_adaptive_noniid_alpha05/reverse_adaptive/seed_123/phase1_cuda_rerun/20260715_200920,1.2715077818,1533.125,AppendixE_crossbackend_CUDA_source_of_truth
exp_reverse_adaptive_noniid_alpha05,42,CUDA,phase1_cuda_rerun,7b95775212fc55e98ab17396d43f1d7be8565943,results/raw/exp_reverse_adaptive_noniid_alpha05/reverse_adaptive/seed_42/phase1_cuda_rerun/20260715_010658,1.2953889325,1533.125,AppendixE_crossbackend_CUDA_source_of_truth
exp_reverse_adaptive_noniid_alpha05,456,CUDA,phase1_cuda_rerun,7b95775212fc55e98ab17396d43f1d7be8565943,results/raw/exp_reverse_adaptive_noniid_alpha05/reverse_adaptive/seed_456/phase1_cuda_rerun/20260715_205528,1.2460482395,1533.125,AppendixE_crossbackend_CUDA_source_of_truth
exp_two_phase_k8,123,CUDA,phase1_cuda_rerun,7b95775212fc55e98ab17396d43f1d7be8565943,results/raw/exp_two_phase_k8/two_phase/seed_123/phase1_cuda_rerun/20260715_223931,1.2701296758,1863.125,Table2_TableS1_CUDA_primary;AppendixE_crossbackend
exp_two_phase_k8,42,CUDA,phase1_cuda_rerun,7b95775212fc55e98ab17396d43f1d7be8565943,results/raw/exp_two_phase_k8/two_phase/seed_42/phase1_cuda_rerun/20260715_214155,1.2712758789,1863.125,Table2_TableS1_CUDA_primary;AppendixE_crossbackend
exp_two_phase_k8,456,CUDA,phase1_cuda_rerun,7b95775212fc55e98ab17396d43f1d7be8565943,results/raw/exp_two_phase_k8/two_phase/seed_456/phase1_cuda_rerun/20260715_233604,1.2702366034,1863.125,Table2_TableS1_CUDA_primary;AppendixE_crossbackend
exp_two_phase_k8_noniid_alpha05,123,CUDA,phase1_cuda_rerun,7b95775212fc55e98ab17396d43f1d7be8565943,results/raw/exp_two_phase_k8_noniid_alpha05/two_phase/seed_123/phase1_cuda_rerun/20260716_013206,1.2695667024,1863.125,AppendixE_crossbackend_CUDA_source_of_truth
exp_two_phase_k8_noniid_alpha05,42,CUDA,phase1_cuda_rerun,7b95775212fc55e98ab17396d43f1d7be8565943,results/raw/exp_two_phase_k8_noniid_alpha05/two_phase/seed_42/phase1_cuda_rerun/20260716_003148,1.2932226067,1863.125,AppendixE_crossbackend_CUDA_source_of_truth
exp_two_phase_k8_noniid_alpha05,456,CUDA,phase1_cuda_rerun,7b95775212fc55e98ab17396d43f1d7be8565943,results/raw/exp_two_phase_k8_noniid_alpha05/two_phase/seed_456/phase1_cuda_rerun/20260716_023251,1.2430931925,1863.125,AppendixE_crossbackend_CUDA_source_of_truth
exp_reverse_adaptive_noniid_alpha01,456_run999,CUDA,phase1_17_diagnostic,6316fb1e8a9b8afd2461779a1cf348c70fb1a5bd,results/raw/exp_reverse_adaptive_noniid_alpha01/reverse_adaptive/seed_456_run999/phase1_17_diagnostic/20260716_192659,1.3145316213,1643.125,AppendixE_run17_seed456_diagnostic
exp_reverse_adaptive_no_switch,42,MPS,stage2_no_switch_sanity,1e518c63010a4ba67eebd1f4c34e7bcddc530c3d,results/raw/exp_reverse_adaptive_no_switch/reverse_adaptive/seed_42/stage2_no_switch_sanity/20260502_105755,1.2594342812,2578.125,SecIVE_AppendixG_no_switch_sanity_MPS
exp_flora_iid,123,MPS,run_08_of_18,2d07cd9d49d672a2eb55f71de19d951d7a7dfb18,results/raw/exp_flora_iid/flora/seed_123/run_08_of_18/20260428_184234,1.2611626767,2578.125,Fig2_Fig3_MPS_IID;AppendixE_MPS_CUDA_alignment
exp_flora_iid,42,MPS,run_07_of_18,2d07cd9d49d672a2eb55f71de19d951d7a7dfb18,results/raw/exp_flora_iid/flora/seed_42/run_07_of_18/20260428_153342,1.2594342812,2578.125,Fig2_Fig3_MPS_IID;AppendixE_MPS_CUDA_alignment
exp_flora_iid,456,MPS,run_09_of_18,2d07cd9d49d672a2eb55f71de19d951d7a7dfb18,results/raw/exp_flora_iid/flora/seed_456/run_09_of_18/20260428_215113,1.2609145652,2578.125,Fig2_Fig3_MPS_IID;AppendixE_MPS_CUDA_alignment
exp_reverse_adaptive_iid,123,MPS,stage2_adaptive,1e518c63010a4ba67eebd1f4c34e7bcddc530c3d,results/raw/exp_reverse_adaptive_iid/reverse_adaptive/seed_123/stage2_adaptive/20260502_171633,1.2752344407,1533.125,Fig2_Fig3_MPS_IID;AppendixE_MPS_CUDA_alignment
exp_reverse_adaptive_iid,42,MPS,stage2_adaptive,1e518c63010a4ba67eebd1f4c34e7bcddc530c3d,results/raw/exp_reverse_adaptive_iid/reverse_adaptive/seed_42/stage2_adaptive/20260502_141513,1.273557108,1533.125,Fig2_Fig3_MPS_IID;AppendixE_MPS_CUDA_alignment
exp_reverse_adaptive_iid,456,MPS,stage2_adaptive,1e518c63010a4ba67eebd1f4c34e7bcddc530c3d,results/raw/exp_reverse_adaptive_iid/reverse_adaptive/seed_456/stage2_adaptive/20260502_201916,1.2751069317,1533.125,Fig2_Fig3_MPS_IID;AppendixE_MPS_CUDA_alignment
exp_two_phase_k8,123,MPS,stage1_bidirectional,c1ed2a156de222bc0c6e65af5e98c67dcb5fc44a,results/raw/exp_two_phase_k8/two_phase/seed_123/stage1_bidirectional/20260501_180732,1.2708520149,1863.125,Fig2_Fig3_MPS_IID;AppendixE_MPS_CUDA_alignment
exp_two_phase_k8,42,MPS,stage1_bidirectional,c1ed2a156de222bc0c6e65af5e98c67dcb5fc44a,results/raw/exp_two_phase_k8/two_phase/seed_42/stage1_bidirectional/20260501_150340,1.2692277238,1863.125,Fig2_Fig3_MPS_IID;AppendixE_MPS_CUDA_alignment
exp_two_phase_k8,456,MPS,stage1_bidirectional,c1ed2a156de222bc0c6e65af5e98c67dcb5fc44a,results/raw/exp_two_phase_k8/two_phase/seed_456/stage1_bidirectional/20260501_211149,1.2707702881,1863.125,Fig2_Fig3_MPS_IID;AppendixE_MPS_CUDA_alignment
exp_two_phase_k10,123,MPS,stage1_bidirectional,c1ed2a156de222bc0c6e65af5e98c67dcb5fc44a,results/raw/exp_two_phase_k10/two_phase/seed_123/stage1_bidirectional/20260502_032419,1.2670480475,2083.125,SecIVC_SecVC_TwoPhase_K10_comm_reference_MPS
exp_two_phase_k10,42,MPS,stage1_bidirectional,c1ed2a156de222bc0c6e65af5e98c67dcb5fc44a,results/raw/exp_two_phase_k10/two_phase/seed_42/stage1_bidirectional/20260502_001645,1.2654538115,2083.125,SecIVC_SecVC_TwoPhase_K10_comm_reference_MPS
exp_two_phase_k10,456,MPS,stage1_bidirectional,c1ed2a156de222bc0c6e65af5e98c67dcb5fc44a,results/raw/exp_two_phase_k10/two_phase/seed_456/stage1_bidirectional/20260502_063204,1.2669757524,2083.125,SecIVC_SecVC_TwoPhase_K10_comm_reference_MPS
exp_reverse_adaptive_threshold_ablation,42,MPS,stage2_threshold_0.005,1e518c63010a4ba67eebd1f4c34e7bcddc530c3d,results/raw/exp_reverse_adaptive_threshold_ablation/reverse_adaptive/seed_42/stage2_threshold_0.005/20260503_174607,1.273557108,1533.125,Table6_Fig4_threshold_ablation_MPS
